		[PMC4631805]
9.0.1	9.0.1	[PMC3708637]
9.02	9.02	[PMC4093164]
9.1	9.1	[PMC4750616,PMC5191619,PMC2780877,PMC4264456,PMC3263864,PMC4804676,PMC3524325,PMC4225645,PMC4133065,PMC3263915,PMC3724279,PMC4274470,PMC3598424,PMC4273078,10.1111%2F1467-8462.12246]
9.1.3	9.1.3	[PMC2638544,PMC3994306,PMC3894438,PMC4310378,PMC5029575,PMC3296922,PMC3532996,PMC3837047]
9.1.4	9.1.4	[PMC4039861]
9.13	9.13	[PMC2895706]
9.2	9.2	[PMC3822109,PMC4985394,PMC4958647,PMC4267110,PMC5091065,PMC3405507,PMC3595153,PMC3822024,PMC3646185,PMC4188109,PMC3638180,PMC4331978,PMC5387955,PMC4153088,PMC4453596,PMC3426798,PMC4649725,PMC3379598,PMC4716173,PMC3467590,PMC3708637,PMC3717584,PMC3600908,PMC2927682,PMC3816860,PMC5056957,PMC3447890,PMC4951474]
9.3	9.3	[PMC3902349,PMC5181807,PMC4767401,PMC5372019,PMC4280825,PMC4621721,PMC4809187,PMC4025442,PMC4366701,PMC5293859,PMC5135399,PMC4316942,PMC4740966,PMC4816035,PMC4776054,PMC5010096]
9.3.2.1	9.3.2.1	[PMC4317475]
9.30	9.30	[PMC4966572]
9.4	9.4	[PMC4559775,PMC5039120,PMC5293311,PMC4801153,PMC4976915,PMC5300027,PMC5149064,PMC5210339,PMC5314818,PMC4733777]
9.5.1	9.5.1	[PMC2920066]
9.6.2.0	9.6.2.0	[PMC3785600]
95	95	[10.1257%2Fjep.15.2.25]
97	97	[PMC3769723]
9v1	9v1	[PMC3177208]
9v6	9v6	[PMC3194040]
B.02.03	B.02.03	[a2010-05-BMC_MOL_BIOL]
C	C	[PMC3223056]
CASAVA-1.8.2	CASAVA-1.8.2	[PMC5129524]
CS3	CS3	[PMC3529531,PMC2853139]
CS4	CS4	[PMC3373399,PMC3020640]
CS5	CS5	[PMC3373399,PMC3608489,PMC3727320]
CS6	CS6	[PMC5413303]
CSII	CSII	[PMC3741479]
Enterprise 4.1	Enterprise 4.1	[PMC4049731]
F3.0	F3.0	[PMC3880993]
G2.0	G2.0	[10.1007%2Fs10797-018-9484-5]
I Version 2	I Version 2	[PMC3944114]
II	II	[PMC3013677,PMC2447753,10.1257%2Fjep.30.2.201]
II 384	II 384	[a2008-39-NAT_BIOTECHNOL]
IV	IV	[PMC3337072,PMC4388951]
PL 10	PL 10	[PMC4283880]
R2010a	R2010a	[PMC3534176]
R2011a	R2011a	[PMC3630328]
R2012a	R2012a	[PMC5390613]
R2014b	R2014b	[PMC5078571]
R2014b version 8.4.0.150421	R2014b version 8.4.0.150421	[PMC4819867]
RTA 1.13.48	RTA 1.13.48	[PMC5129524]
Rel. 4.8	Rel. 4.8	[PMC4582499]
V1.7	1.7	[PMC3529402]
VII level 1.2	II level 1.2	[PMC4574835]
X	X	[PMC3223056]
XD	XD	[PMC4453845]
beta-	beta-	[PMC3935166]
r2013-02-25	r2013-02-25	[PMC5129524]
 15	 15	[PMC4771121]
β	β	[PMC3093010]
