		[PMC2447753]
FigTree	FigTree	[PMC5406524,PMC4103437]
Fiji	Fiji	[PMC4551318]
FinchTV	FinchTV	[PMC4010924]
FireFox	FireFox	[PMC3245093]
Firefox	Firefox	[10.1257%2Fjep.26.2.189,PMC5210605]
FirstNet	FirstNet	[PMC4162729]
Flex control	Flex control	[PMC3374072]
FlexImaging	FlexImaging	[PMC3593214]
Floodgate	Floodgate	[10.1257%2Fjep.26.3.87]
FlowJo	FlowJo	[PMC4468934,PMC3405507,PMC5414882,PMC4583819,PMC4230620,PMC4760300,PMC3071219,PMC2626671,PMC4410084,PMC3727320,PMC3526355,PMC3531733,PMC5409206,PMC2722173,PMC5023377,PMC4411514,PMC3177208]
FlowLogic	FlowLogic	[PMC5031952]
Fluctuation Analyzer	Fluctuation Analyzer	[PMC4230620]
Fluoview	Fluoview	[PMC4184560,PMC4357732,PMC3255244]
FlyBase	FlyBase	[PMC1747177,PMC5210605]
FlyRNAi	FlyRNAi	[PMC1747177]
Flybase	Flybase	[PMC1747177]
FoldIndex	FoldIndex	[PMC2935446]
Food Processor Nutrition Analysis and Fitness	Food Processor Nutrition Analysis and Fitness	[PMC2584180]
Forcite	Forcite	[PMC3366639]
Formic	Formic	[PMC3158666]
FragAnchor	FragAnchor	[PMC5054108]
FrameDP program	FrameDP program	[PMC3400965]
Frank Harrell RMS	Frank Harrell RMS	[PMC3887290]
FreeSurfer	FreeSurfer	[PMC4754077]
Freesurfer	Freesurfer	[PMC3782730]
Freesurfer image analysis	Freesurfer image analysis	[PMC4215532]
Fscaret	Fscaret	[PMC5238813]
Fujifilm Image Reader	Fujifilm Image Reader	[PMC3909089]
Functional MRI of the Brain Software Library	Functional MRI of the Brain Software Library	[PMC4683424]
FusionCapt Advance	FusionCapt Advance	[PMC4787772]
G Power	G Power	[PMC4894081]
G power	G power	[PMC4894081]
G*POWER	G*POWER	[PMC4265209]
G*Power	G*Power	[PMC4304534,PMC4360915,PMC5419106,PMC5453893,PMC3542452]
GAMS	GAMS	[10.1111%2Fj.1467-8381.2009.02008.x]
GAMS MPSGE	GAMS MPSGE	[10.1111%2Fj.1467-8381.2009.02008.x]
GASBOR	GASBOR	[PMC5143422]
GATK	GATK	[PMC5421174,PMC5132076,PMC3630384]
GAUSS	GAUSS	[10.1257%2Fjep.15.4.157]
GBrowse	GBrowse	[PMC1747177,PMC5210542]
GBrowse MOBY	GBrowse MOBY	[PMC2773253]
GCTA	GCTA	[PMC4093824]
GEANT	GEANT	[PMC3644108]
GEMMA	GEMMA	[PMC4093824]
GENALEX	GENALEX	[PMC4283627]
GEO	GEO	[PMC4066774]
GEODA	GEODA	[10.1080%2F17421772.2011.647058]
GIPSE	GIPSE	[PMC4718351]
GNOM	GNOM	[PMC5143422]
GNU-Octave	GNU-Octave	[PMC3329738]
GO	GO	[PMC4123385]
GOLD	GOLD	[PMC4541654,PMC5143422]
GOrilla	GOrilla	[PMC2886355]
GOstats	GOstats	[PMC4816756]
GPI-SOM	GPI-SOM	[PMC5054108]
GPS Explorer	GPS Explorer	[PMC4918545]
GRADEpro	GRADEpro	[PMC4537151]
GRAPHPAD	GRAPHPAD	[PMC4265209,PMC5073050]
GRASP	GRASP	[PMC3105518]
GS FLX	GS FLX	[PMC3202792]
GSAS	GSAS	[PMC3890939]
GSEA	GSEA	[PMC3494016]
GTAP	GTAP	[10.1111%2Fj.1467-8381.2009.02008.x]
GTAP6inGAMS	GTAP6inGAMS	[10.1111%2Fj.1467-8381.2009.02008.x]
Galaxy	Galaxy	[PMC2773253,PMC5144680]
Gator	Gator	[10.1257%2Fjep.26.2.189]
Gauss	Gauss	[10.1111%2F1475-4932.12059,10.1257%2Fjep.15.4.29]
Gblocks	Gblocks	[PMC3384331]
Gbrowse	Gbrowse	[PMC3013778,PMC5210542]
Gel Analyzer	Gel Analyzer	[PMC4230620]
GelPro	GelPro	[PMC2703206]
GelPro analyzer	GelPro analyzer	[PMC2703206]
GenABEL	GenABEL	[PMC4093824]
GenAlEx (Genetic Analyses in Excel	GenAlEx (Genetic Analyses in Excel	[PMC4303630]
GenBank	GenBank	[PMC3589787,a2001-40-MOL_ECOL]
Gene	Gene	[PMC5210605]
Gene Expression Omnibus	Gene Expression Omnibus	[PMC4068285]
Gene Ontology	Gene Ontology	[PMC2686489]
Gene Set Enrichment Analysis (GSEA	Gene Set Enrichment Analysis (GSEA	[PMC3494016]
Gene Set Enrichment Analysis(GSEA	Gene Set Enrichment Analysis(GSEA	[PMC3494016]
Gene Spring	Gene Spring	[PMC3193002]
Gene-Spring	Gene-Spring	[PMC4551074]
GeneChip Operating Software	GeneChip Operating Software	[PMC3880993,PMC3734831]
GeneGenius	GeneGenius	[PMC5089945]
GeneMapper	GeneMapper	[PMC4103605]
GeneMapper™	GeneMapper™	[PMC4792857]
GeneMark.hmm	GeneMark.hmm	[PMC3384331]
GeneMark.hmm for Prokaryotes	GeneMark.hmm for Prokaryotes	[PMC3384331]
GeneMarker	GeneMarker	[PMC2677890]
GenePattern	GenePattern	[PMC2773253,PMC4475471]
GenePattern genomic analysis toolkit	GenePattern genomic analysis toolkit	[PMC4475471]
GenePix	GenePix	[PMC1635254,a2008-39-NAT_BIOTECHNOL]
GeneScan	GeneScan	[PMC2816832]
GeneSilicoMetaServer	GeneSilicoMetaServer	[PMC2935446]
GeneSpring	GeneSpring	[PMC4584013,PMC3193002,PMC2475704]
GeneSpring GX	GeneSpring GX	[PMC4276895,PMC3193002]
GeneSpringGX	GeneSpringGX	[PMC4317475]
GeneXpert	GeneXpert	[PMC3698303]
Genechip Operating Software	Genechip Operating Software	[PMC4584013]
Geneious	Geneious	[PMC2602909]
Geneious Pro	Geneious Pro	[PMC4103437]
Genemapper	Genemapper	[PMC4303630]
General Structure Analysis System	General Structure Analysis System	[PMC3371588]
Generic Genome Browser	Generic Genome Browser	[PMC1747177]
Generic Genome Browser (GBrowse	Generic Genome Browser (GBrowse	[PMC1747177]
Genesis	Genesis	[PMC2886355,PMC3357263]
Genesis EDX	Genesis EDX	[PMC3863971]
Genetic Genome Browser	Genetic Genome Browser	[PMC1747177]
Genomatrix	Genomatrix	[PMC3575799]
Genome Analysis Toolkit	Genome Analysis Toolkit	[PMC4895162,PMC5478307]
GenomeRNAi	GenomeRNAi	[PMC1747177]
GenomeStudio	GenomeStudio	[PMC4830185,PMC3549877]
GenomeStudio Genotyping	GenomeStudio Genotyping	[PMC4299502]
Geoda	Geoda	[10.1080%2F17421772.2011.647058]
Gephi	Gephi	[10.1257%2Fjep.28.4.23]
Gitools	Gitools	[PMC5435914]
Glide	Glide	[PMC4541654,PMC4280825]
GlobPlot	GlobPlot	[PMC2935446]
Google	Google	[10.1111%2Fcoep.12223,10.1111%2F1475-4932.12331,10.1111%2Fjems.12141,10.1257%2Faer.20120942]
Google Analytics	Google Analytics	[PMC3935166]
Google Chrome	Google Chrome	[PMC5210605]
Google Docs	Google Docs	[PMC3140372]
Google Maps API	Google Maps API	[10.1007%2Fs11151-015-9460-5]
Google News	Google News	[10.1257%2Fjep.26.2.189]
Google Scholar	Google Scholar	[10.1111%2F1475-4932.12331,PMC4621721,10.1257%2Faer.20140850,PMC3261704]
Google Search	Google Search	[10.1111%2Fjems.12141]
Google Translate	Google Translate	[10.1007%2Fs10842-014-0187-z]
Google Trends	Google Trends	[10.1257%2Fjep.26.2.189]
GrADS	GrADS	[PMC3964559]
Grafit	Grafit	[PMC3064789]
Graph Pad Prism	Graph Pad Prism	[PMC5235341,PMC3302168,PMC5241585,PMC5207597]
Graph-Pad Prism	Graph-Pad Prism	[PMC4667234,PMC4807949]
GraphPad	GraphPad	[PMC4221315,PMC4057327,PMC4128792,PMC5073050,PMC4068285]
GraphPad InStat	GraphPad InStat	[PMC3694247,PMC4553351]
GraphPad PRISM	GraphPad PRISM	[PMC3058730,PMC3351187,PMC5389568]
GraphPad Prism	GraphPad Prism	[PMC5463043,PMC3902349,PMC5147514,PMC3203616,PMC4616535,PMC3405507,PMC3357263,PMC4047866,PMC4959023,PMC4800296,PMC3055594,PMC5078599,PMC4443294,PMC4717961,PMC4888764,PMC3060514,PMC5364865,PMC5108413,PMC5458338,PMC5225149,PMC3518495,PMC5247570,PMC4410084,PMC3507205,PMC4257079,PMC4407761,PMC4720104,PMC3148455,PMC3661168,PMC4094575,PMC5071723,PMC5023377,PMC4310406,PMC4181735,PMC4212086,PMC2731541,PMC3337979,PMC5389568]
GraphPad Prism®	GraphPad Prism®	[PMC5076548]
GraphPad Software	GraphPad Software	[PMC4916592]
GraphPad prism	GraphPad prism	[PMC3730412,PMC2921509]
GraphPrism	GraphPrism	[PMC5414882]
GraphViz	GraphViz	[PMC2686461]
Graphpad Prism	Graphpad Prism	[PMC5147514,PMC4264042,PMC2661600,PMC4851261,PMC3835222]
Guineu	Guineu	[PMC5078571]
H-DBAS	H-DBAS	[PMC3013677]
HAP	HAP	[PMC3223056]
HBPLUS	HBPLUS	[PMC3130168]
HHpred	HHpred	[PMC3194040]
HKL-2000	HKL-2000	[PMC4790474]
HKL2000	HKL2000	[PMC2626662,PMC3575798,PMC5143422]
HMMER	HMMER	[PMC2881384,PMC3013677]
HMMER Package	HMMER Package	[PMC5129524]
HOMA2	HOMA2	[PMC5096434]
HTML	HTML	[PMC3013778]
HYDRA	HYDRA	[PMC4835540]
Halo	Halo	[PMC5235341]
HaploView	HaploView	[PMC2678927]
Haploview	Haploview	[PMC5265988,PMC2927682]
HealthSpace	HealthSpace	[PMC3365791]
Heidelberg Eye Explorer	Heidelberg Eye Explorer	[PMC5413303]
HiC-Norm	HiC-Norm	[PMC4797302]
HiCNorm	HiCNorm	[PMC4797302]
HiSeq Control	HiSeq Control	[PMC5129524]
HiSeq Sequencing Control	HiSeq Sequencing Control	[PMC4066774]
HiSeq Sequencing Control Software	HiSeq Sequencing Control Software	[PMC4066774]
HiT QSAR	HiT QSAR	[PMC4408226]
Hmisc	Hmisc	[PMC4875560]
Hologic	Hologic	[PMC3781569]
HomeCageScan	HomeCageScan	[PMC4853588]
HotWired	HotWired	[10.1257%2Fjep.23.3.37]
HumanHap300 Beadchip	HumanHap300 Beadchip	[a2008-02-WATERBIRDS]
Hypertext Preprocessor	Hypertext Preprocessor	[PMC3935166]
I-TASER	I-TASER	[PMC4380214]
I-TASSER	I-TASSER	[PMC3130168]
IBM SPSS	IBM SPSS	[PMC4871932,PMC3773590,PMC4626665,PMC4602909,PMC4870320,PMC4496436]
IBM SPSS Statistics	IBM SPSS Statistics	[PMC4355434,PMC3749580,PMC4616740,PMC4503903,PMC5321584]
IBM SPSS statistics	IBM SPSS statistics	[PMC4146730]
IBM SPSS statistics package	IBM SPSS statistics package	[PMC5081317]
IDEAS	IDEAS	[PMC5089661]
IDL	IDL	[PMC3198286,PMC3835222]
IFEFFIT	IFEFFIT	[PMC3731646]
IMACULAT	IMACULAT	[PMC5041470]
IMAGE GAUGE	IMAGE GAUGE	[PMC2887951]
IML SAS	IML SAS	[10.1007%2Fbf00163432]
IMPUTE	IMPUTE	[PMC3179381]
IMpact for PLANning	IMpact for PLANning	[10.1257%2Fjep.30.2.201]
INFERNAL	INFERNAL	[PMC4615214]
INSPIRE	INSPIRE	[10.3846%2Fjbem.2010.28]
IOX2	IOX2	[PMC4919585]
IPA	IPA	[PMC3734831,PMC4586740,PMC3322527]
IPA Path Designer	IPA Path Designer	[PMC3322527]
IPA tool	IPA tool	[PMC3734831]
IPI mouse protein database	IPI mouse protein database	[PMC4959023]
IPLab	IPLab	[PMC3328383,PMC3982819]
IPUMS	IPUMS	[10.1002%2Fpam.22030]
ISIDA Duplicates	ISIDA Duplicates	[PMC4408226]
ISIDA/Cluster	ISIDA/Cluster	[PMC4408226]
ITK-Snap	ITK-Snap	[PMC5367605]
IUP	IUP	[PMC2935446]
IUPREDL	IUPREDL	[PMC2935446]
IUPred	IUPred	[PMC2935446]
IUPred LONG (IUPREDL	IUPred LONG (IUPREDL	[PMC2935446]
IUPred SHORT (IUPREDS	IUPred SHORT (IUPREDS	[PMC2935446]
IUPredL	IUPredL	[PMC2935446]
IUPredS	IUPredS	[PMC2935446]
IVRS	IVRS	[PMC4623366]
Igor	Igor	[PMC4576863]
Igor Pro	Igor Pro	[PMC4380214]
Illumina	Illumina	[PMC4787772,PMC3627563]
Illustrator	Illustrator	[PMC3328383]
Image Gauge	Image Gauge	[PMC3909089]
Image J	Image J	[PMC3032512,PMC4918545,PMC4919585,PMC4443294,PMC5108413,PMC3984197,a2008-39-NAT_BIOTECHNOL,PMC3730412,PMC3521687,PMC5220168,PMC4812504,PMC3025493,PMC3835222,PMC4960374]
Image Pro	Image Pro	[PMC3368359]
Image Pro Plus	Image Pro Plus	[PMC3386209,PMC4878562,PMC2724645]
Image Pro-Plus	Image Pro-Plus	[PMC4299502,PMC4128692]
Image Process	Image Process	[PMC2853139]
Image Processing Language	Image Processing Language	[PMC5440848]
Image Reader	Image Reader	[PMC2853139]
Image-J	Image-J	[PMC4016806,PMC3028337,PMC5436475]
Image-Pro	Image-Pro	[PMC5023377,PMC4063356]
Image-Pro PLUS	Image-Pro PLUS	[PMC3406768]
Image-Pro Plus	Image-Pro Plus	[PMC2887951,PMC5104181,PMC3198078,PMC4851261,PMC5023377,PMC4837866]
Image-Pro ® Plus	Image-Pro ® Plus	[PMC4157927]
Image-Pro-Plus	Image-Pro-Plus	[PMC4255760]
Image-Quant TL	Image-Quant TL	[PMC2551693]
ImageGauge	ImageGauge	[PMC3749346]
ImageJ	ImageJ	[PMC3501353,PMC5147514,PMC5235341,PMC4771121,PMC4621840,PMC3386209,PMC4027884,PMC4582561,PMC3956627,PMC4147369,PMC3032512,PMC5446083,PMC4938145,PMC4299502,PMC4959023,PMC4634381,PMC5041470,PMC3776217,PMC5063056,PMC4576863,PMC5108413,PMC5007093,PMC3984197,PMC4615111,PMC3268728,PMC3128530,PMC4832390,PMC4437485,PMC5476584,PMC3341159,PMC3510025,PMC3529531,PMC3514035,PMC4843533,PMC4586740,PMC5360361,PMC3727320,PMC3198080,PMC5406603,PMC3628511,PMC2453617,PMC2806324,PMC4428716,PMC4436784,PMC4551318,PMC4675898,PMC3282807,PMC2963829,PMC4376262,PMC4475901,PMC4173757,PMC5216448]
ImageProPlus	ImageProPlus	[PMC4468934,PMC4327276]
ImageQuant	ImageQuant	[PMC3351152,PMC2248739,PMC2553567,PMC1874646,PMC3590572,PMC5001609,PMC3001089,PMC3001088,PMC3287198,PMC3177208]
ImageScope	ImageScope	[PMC3650246]
Imagescope	Imagescope	[PMC5262502]
Imagine-Pro Plus	Imagine-Pro Plus	[PMC2768165]
Imaris	Imaris	[PMC5041470,PMC3857483]
Impact	Impact	[PMC4280825]
InSight	InSight	[PMC4662707]
InStat	InStat	[PMC4150213]
InStruct	InStruct	[PMC4303630]
InVivoScope	InVivoScope	[PMC4299502]
IncuCyte ZOOM	IncuCyte ZOOM	[PMC5348473]
Ingenuity Pathway Analysis	Ingenuity Pathway Analysis	[PMC4584013,PMC3322527]
Ingenuity Pathway Analysis (IPA	Ingenuity Pathway Analysis (IPA	[PMC4586740]
Ingenuity Pathways Knowledge Base	Ingenuity Pathways Knowledge Base	[PMC3357263]
IngenuityPathways Analysis	IngenuityPathways Analysis	[PMC3734831]
Inspire	Inspire	[10.3846%2Fjbem.2010.28]
Instat	Instat	[PMC4357677]
IntaRNA	IntaRNA	[PMC4615379]
Integrated Public Use Microdata Series	Integrated Public Use Microdata Series	[10.1111%2Fj.1467-8462.2013.12010.x]
Integrative Genomics Viewer	Integrative Genomics Viewer	[PMC4895162]
Intelligent Quantifier	Intelligent Quantifier	[PMC1802622]
InterProScan	InterProScan	[PMC3202792,PMC3400965,PMC3384331,PMC4755524]
Interactive Voice Response System	Interactive Voice Response System	[PMC4623366]
Internet Archive	Internet Archive	[10.1257%2Fjep.26.2.189]
Internet Explorer	Internet Explorer	[10.1257%2Fjep.15.2.25,10.1257%2Fjep.26.2.189,PMC5210605,10.1007%2Fs11151-011-9291-y]
Interwrite Cricket	Interwrite Cricket	[PMC3935166]
IslandViewer	IslandViewer	[PMC3013778]
I­solution	I­solution	[PMC4579164]
JACoP	JACoP	[PMC3628511]
JASP	JASP	[PMC5419106]
JAVA SE	JAVA SE	[PMC2950835]
JCB Data-Viewer	JCB Data-Viewer	[PMC3628511]
JCB DataViewer	JCB DataViewer	[PMC2886355]
JCVI	JCVI	[PMC4478705]
JMP	JMP	[PMC4027884,PMC5132031,PMC3388559,PMC3619072,PMC4322207,PMC4822213,PMC3276104,PMC4173757]
JMP Pro	JMP Pro	[PMC4921791]
JMP statistical	JMP statistical	[PMC4042634]
JMP® Pro	JMP® Pro	[PMC4683424]
JMulTi	JMulTi	[10.1111%2Fobes.12191]
JMulti	JMulti	[10.1111%2Fobes.12191]
JSTAT	JSTAT	[PMC4027884]
JSTAT - Java Virtual Machine Statistics Monitoring Tool	JSTAT - Java Virtual Machine Statistics Monitoring Tool	[PMC3085624]
JSTOR	JSTOR	[10.1007%2Fs00148-016-0624-x]
Jalview	Jalview	[PMC2911847,PMC3013778]
Java	Java	[PMC5054038,10.1257%2Fjep.15.2.25,10.1007%2Fs10614-017-9706-4,10.1111%2Fjems.12141,PMC2447807]
JavaScript	JavaScript	[10.1111%2Fjors.12246,PMC3935166,PMC3013778]
Javascript	Javascript	[PMC3935166]
Jmol	Jmol	[PMC3400965,PMC2447781]
Jnet	Jnet	[PMC3177212]
Job Submission Application	Job Submission Application	[10.1515%2Fjbnst-2016-1001]
JoinMap	JoinMap	[PMC3223056]
Joinpoint Regression Program	Joinpoint Regression Program	[PMC4740966]
Jpred	Jpred	[PMC1950546]
Just Dance	Just Dance	[PMC4977069]
KINETICA	KINETICA	[PMC3933250]
KINWALKER	KINWALKER	[PMC4615214]
KODIP DRGScout	KODIP DRGScout	[PMC2736487]
KaleidaGraph	KaleidaGraph	[PMC3664807,PMC5406603,PMC2919713]
Kaluza analysis	Kaluza analysis	[PMC4362380,PMC4257079]
Kazaa	Kazaa	[10.1257%2Fjep.26.2.189]
Kepler	Kepler	[PMC2773253]
Kinect Adventures	Kinect Adventures	[PMC4977069]
Kinect Sport Boxing	Kinect Sport Boxing	[PMC4977069]
Kinect Sports	Kinect Sports	[PMC4977069]
Kontron KS300	Kontron KS300	[PMC3984197]
Kubios HRV	Kubios HRV	[PMC4947724]
LAMTRACE	LAMTRACE	[PMC3449286]
LAS	LAS	[PMC4261519]
LAS AF	LAS AF	[PMC3481138,PMC3749580]
LAS AF lite	LAS AF lite	[PMC4634381]
LC solution	LC solution	[PMC3580823]
LCS	LCS	[PMC3514035]
LDPI	LDPI	[PMC5293301]
LIPM	LIPM	[PMC2773253]
LMSchartmaker	LMSchartmaker	[PMC3977211]
LOW- ESS	LOW- ESS	[PMC3225968]
LQDG Toolbox	LQDG Toolbox	[10.1007%2Fs10614-011-9257-z]
LQDGsolver	LQDGsolver	[10.1007%2Fs10614-011-9257-z]
LQDGsolver.exe	LQDGsolver.exe	[10.1007%2Fs10614-011-9257-z]
LRT	LRT	[PMC5132076]
LSM	LSM	[PMC3341159,PMC5216448]
LSM 510	LSM 510	[PMC3373399,PMC3268728,PMC3341159]
LSM Image Examiner	LSM Image Examiner	[PMC2386104]
Lab View	Lab View	[PMC5221592]
Lab-View	Lab-View	[PMC5221592]
LabVIEW	LabVIEW	[PMC4182815,PMC3569919,PMC3018006]
LabView	LabView	[PMC4763990,PMC5221592,PMC2677890]
Latent Gold	Latent Gold	[PMC4038421]
LePrep	LePrep	[PMC5419106]
Leica Chantal	Leica Chantal	[PMC3741479]
Leica Q550CW	Leica Q550CW	[PMC4832950]
Leica Q550CW software system	Leica Q550CW software system	[PMC4832950]
Leica Qwin	Leica Qwin	[PMC2518490]
LiberalArtsFacultyJobs.com	LiberalArtsFacultyJobs.com	[10.1257%2Fjep.24.4.187]
LigPrep	LigPrep	[PMC4280825]
LigandScout	LigandScout	[PMC3829989,PMC2803435]
LightCycler	LightCycler	[PMC4832390]
Limdep	Limdep	[10.1257%2Faer.102.3.691]
Limma	Limma	[PMC3373399,PMC5435914,PMC4615379]
LinkOut	LinkOut	[PMC2808884]
Linux	Linux	[10.1257%2Fjep.15.2.25,PMC3013778,10.1177%2F0486613415586992]
LipoP	LipoP	[PMC3769764]
Living Image	Living Image	[PMC5262502,PMC3373399,PMC3727320]
Living Image Software	Living Image Software	[PMC3727320]
Lotus Notes	Lotus Notes	[10.1257%2Fjep.15.2.25]
Lucia	Lucia	[PMC3198080]
M-COFFEE	M-COFFEE	[PMC1636350]
MAC Viewer	MAC Viewer	[PMC3249287]
MACH	MACH	[PMC3179381]
MACS	MACS	[PMC5435914]
MAFFT	MAFFT	[PMC3589787,PMC3762194,PMC1636350]
MAFFT-ginsi	MAFFT-ginsi	[PMC1636350]
MAFFT-linsi	MAFFT-linsi	[PMC1636350]
MAGNOLIA	MAGNOLIA	[PMC2447753]
MALDI BioTyper	MALDI BioTyper	[PMC5065646]
MALDI Biotyper	MALDI Biotyper	[PMC5406524]
MAQ	MAQ	[PMC3419515]
MAQ package	MAQ package	[PMC3627563]
MAS	MAS	[PMC3130168,PMC5334298,PMC3691566]
MAS5	MAS5	[PMC2585846]
MASCOT	MASCOT	[PMC1874646,PMC4475901]
MASS	MASS	[PMC3429821]
MAT-LAB	MAT-LAB	[PMC4642173]
MATLAB	MATLAB	[10.1111%2Fobes.12195,PMC4763990,10.1007%2Fs11149-006-9012-x,10.1007%2Fs10614-011-9257-z,PMC5308490,PMC4236336,PMC3198286,PMC4771038,PMC3674238,PMC5098113,PMC5078571,PMC5078595,PMC3329738,PMC4713128,PMC3534176,PMC3361002,10.1007%2Fs10614-014-9465-4,PMC3765960,PMC4826955,PMC3027082,PMC4135079,PMC5390613,PMC4374707,10.3846%2Fbtp.2016.534,PMC2238715,PMC4269546,PMC5073050,PMC4898791,PMC4764960,PMC2241875,PMC4963800,PMC2963829,PMC5215597]
MATLAB R2008a Fuzzy Logic Toolbox	MATLAB R2008a Fuzzy Logic Toolbox	[10.3846%2Fjbem.2010.30]
MATLAB Simulink	MATLAB Simulink	[PMC3027082]
MATLAB-based	MATLAB-based	[PMC5390613]
MAUD	MAUD	[PMC3936211]
MAXQDA	MAXQDA	[PMC5400067]
MCFLIRT	MCFLIRT	[PMC4375646]
MCODE	MCODE	[PMC3939454]
ME GA	ME GA	[PMC3749458]
MEGA	MEGA	[PMC2768238,PMC3130168,PMC4112233,PMC3589787,PMC3819448,PMC5423319,PMC4397380,PMC4540966,PMC5005113,PMC3769764,PMC4103437]
MEGA4	MEGA4	[PMC3177212]
MEGALIGN	MEGALIGN	[PMC3749458]
MEME	MEME	[PMC4540966,PMC5435914]
MFOLD	MFOLD	[PMC4615214]
MGLTools	MGLTools	[PMC3590572]
MIDI	MIDI	[10.1162%2Fqjec.121.4.1383,10.1162%2Fqjec.2005.120.1.345]
MIGRATE	MIGRATE	[PMC4303630]
MIMS	MIMS	[PMC4674517]
MINC	MINC	[PMC3782730]
MIRAGE	MIRAGE	[10.1111%2Ftwec.12479]
MIRAGE-e	MIRAGE-e	[10.1111%2Ftwec.12479]
ML3D	ML3D	[PMC4176174]
MLwiN	MLwiN	[10.1080%2F09645292.2018.1426732]
MNScore	MNScore	[PMC5089661]
MOBCAL	MOBCAL	[PMC3149990]
MOD-ELLER	MOD-ELLER	[PMC3130168]
MODELLER	MODELLER	[PMC3130168,PMC3194040,PMC3177208]
MOE	MOE	[PMC3829989,PMC3060514,PMC2803435]
MOL-BROBITY	MOL-BROBITY	[PMC2626662]
MOLPROBITY	MOLPROBITY	[PMC2626662]
MOLREP	MOLREP	[PMC2626662]
MOSFLM	MOSFLM	[PMC2626662,PMC2556094]
MOVES	MOVES	[10.1257%2Faer.20150897]
MOWSERV	MOWSERV	[PMC2773253]
MPLUS	MPLUS	[PMC2836542]
MPSGE	MPSGE	[10.1111%2Fj.1467-8381.2009.02008.x]
MPScope	MPScope	[PMC3765960]
MRI-cron	MRI-cron	[PMC3309518]
MRIcron	MRIcron	[PMC3309518]
MS Excel	MS Excel	[10.3846%2F1648-0627.2009.10.107-117,PMC3252618,a2010-05-BMC_MOL_BIOL,PMC3322527]
MS-SQL	MS-SQL	[PMC3638180]
MS-SQL Server	MS-SQL Server	[PMC3638180]
MSATCOM-MANDER	MSATCOM-MANDER	[PMC4103605]
MSQuant	MSQuant	[PMC2529246]
MTB	MTB	[10.1515%2Fjbnst-2017-1004]
MUMMALS	MUMMALS	[PMC1636350]
MUMmer	MUMmer	[PMC1747177,10.1257%2Fjep.24.4.103]
MUSCLE	MUSCLE	[PMC3013778,PMC2881384,PMC3419515,PMC1636350,PMC3132874]
MaGE	MaGE	[10.1111%2Ftwec.12479]
MaGE1	MaGE1	[10.1111%2Ftwec.12479]
Mac OS	Mac OS	[10.1257%2Fjep.15.2.25]
MacPy-MOL	MacPy-MOL	[PMC4797302]
Maemo	Maemo	[10.1007%2Fs10842-011-0105-6]
Maestro	Maestro	[PMC4280825,PMC5078571]
MagnaFire	MagnaFire	[PMC4481556]
MakerBot	MakerBot	[PMC5147225]
Maldi Biotyper Automation Control	Maldi Biotyper Automation Control	[PMC3374072]
Mann–Whitney U test	Mann–Whitney U test	[PMC2995975]
MapViewer	MapViewer	[PMC2678927]
Maple	Maple	[10.1007%2Fs10818-017-9252-0,PMC3164564]
MarkerLynx	MarkerLynx	[PMC2238715]
MarsBar	MarsBar	[PMC3309518]
Marsbar	Marsbar	[PMC3722356]
Mascot	Mascot	[PMC4918545,PMC4801132,PMC4357732,PMC2686489,PMC4492754,PMC5339831]
Mass Center system	Mass Center system	[PMC5098543]
Mass Lynx	Mass Lynx	[PMC2529246]
Mass-Lynx	Mass-Lynx	[PMC2850939]
MassAnalyzer	MassAnalyzer	[PMC4622569]
MassHunter	MassHunter	[PMC4816756]
MassLynx	MassLynx	[PMC3149990,PMC2649809]
MassWolf	MassWolf	[PMC2649809]
MatLab	MatLab	[PMC3112533]
Materials Studio Modules	Materials Studio Modules	[PMC3366639]
MathJobs.Org	MathJobs.Org	[10.1257%2Fjep.24.4.187]
MathWorks	MathWorks	[PMC3534176]
Mathematica	Mathematica	[10.1111%2Fj.1538-4616.2008.00153.x,PMC4303630,10.5935%2F0034-7140.20150005,PMC2806324]
Matlab	Matlab	[10.1111%2Fj.1538-4616.2008.00153.x,PMC4230595,PMC5089661,PMC4968915,PMC3361002,PMC5458338,10.1111%2Froie.12300,10.1111%2Fsaje.12137,10.1111%2Fj.1467-6451.2007.00315.x,PMC3630328,PMC4819867,PMC4122291,PMC3321481,10.1080%2F17421772.2015.1126966,10.1080%2F17421770903541772,10.1257%2Fjep.15.4.157,10.1086%2Fma.20.3585423,PMC3049466,10.1590%2Fs0034-71402003000400011,10.2307%2F3585311,PMC5061105,10.1007%2Fs10683-017-9546-z,PMC4215594]
Matrix Family Library	Matrix Family Library	[PMC3575799]
Matrox Inspector	Matrox Inspector	[PMC5247570]
Matt	Matt	[PMC2881384]
MatureBayes	MatureBayes	[PMC5424272]
MaxFilter	MaxFilter	[PMC4269546,PMC4215594]
MaxQuant	MaxQuant	[PMC3770329]
Maxquant	Maxquant	[PMC3770329]
Mdesk Orthopaedics	Mdesk Orthopaedics	[PMC5016906]
MeV	MeV	[PMC4586740]
MeVisLab	MeVisLab	[PMC4843533]
Mechanical Turk	Mechanical Turk	[10.1257%2Faer.20160542]
MedCalc	MedCalc	[PMC4513598,PMC5144905,PMC4236336,PMC4922354,PMC3708637,PMC5390613,PMC3785600,PMC4182354,PMC4174131]
Medcalc	Medcalc	[PMC5355527]
MediaWiki	MediaWiki	[PMC2686520]
Mediawiki	Mediawiki	[PMC3345378]
Medidata Rave	Medidata Rave	[PMC3246293]
