identifier,quote,tei
PMC3027082_CM04,"Ocular motor simulations of the effects of acetazolamide on INS were performed in the MATLAB Simulink (The 44 The Open Ophthalmology Journal, 2010, Volume 4 Thurtell et al. MathWorks, Natick, MA) environment.",data/tei/PMC3027082.tei.xml
PMC5226643_JWC01,A pMELTS simulation (31) with the alphaMELTSinterface (32)of176Lu/177Hf during KREEP c,data/tei/PMC5226643.tei.xml
PMC5226643_JWC03,"in the data reduction software Tripoli (46), using ver-sion 1 isotopic composition models",data/tei/PMC5226643.tei.xml
PMC5226643_JWC05,We performed pMELTS simulations (31) using the alphaMELTSinterface (32) to model the crystallization of KREEP,data/tei/PMC5226643.tei.xml
PMC5226643_JWC07,We used the modal phases predicted by pMELTS together withpartition coefficient,data/tei/PMC5226643.tei.xml
PMC5226643_JWC08,"through decreasing melt percent, as given by pMELTS simulations",data/tei/PMC5226643.tei.xml
PMC3762194_EK04,"In phylogenetic analyses, we employed PhyML 3.0 (Guindonet al. 2010) for maximum-likelihood (ML) tree inference andMrBayes 3.1 (Huelsenbeck and Ronquist 2001) for Bayesianmethod.",data/tei/PMC3762194.tei.xml
PMC3762194_EK05,"For the ML analyses including large data sets (fig. 2andsupplementary fig. S1,Supplementary Materialonline),we used RAxML (Stamatakis 2006)",data/tei/PMC3762194.tei.xml
PMC5040012_HR02,"The statistical analyses were performed using the SPSS Statistics(version16.0; SPSS Inc., Chicago, IL, USA).",data/tei/PMC5040012.tei.xml
PMC3378868_MZ01,"Accordingly, the coordinates of the PPARg-bound sites from <ref type=""bibr"">Nielsen et al. (4)</ref> and <ref type=""bibr"">Lefterova et al. (6)</ref> were lifted over from mm9 to mm8 using the UCSC lift-over tool, while the coordinates from the datasets of <ref type=""bibr"">Lefterova et al. (3)</ref> and <ref type=""bibr"">Hamza et al. (5)</ref> were already based on mm8.",data/tei/PMC3378868.tei.xml
PMC2736487_HR01,"KODIP DRGScout (version 0.9, SBG, Berlin).",data/tei/PMC2736487.tei.xml
PMC5247570_JWC01,"Stained cells were analyzed by aflow cytometer (MuseTMCell Analyzer,Merck Millipore, Inc.) with Muse 1.1.2 analysis software.",data/tei/PMC5247570.tei.xml
PMC5476584_JWC01,Confocal laser scanning microscopy (CLSM) images were analyzed using ImageJ software,data/tei/PMC5476584.tei.xml
PMC4128792_CF03,"Statistical analyses were performed using GraphPad version 5 for Windows (GraphPad Software, La Jolla, CA, USA).",data/tei/PMC4128792.tei.xml
PMC5419106_EK02,"Sof tware PAST [10], BoxPlotR (http://boxplot.tyerslab.com/), JASP (https:// jaspstats.org/), G*Power [11] and LePrep (http://lmrs.univrouen.f r/Persopage/Lecoutre/PAC.htm) have been involved.",data/tei/PMC5419106.tei.xml
PMC4541475_EK01,"Analyses were performed in STATA/SE 13.0 (StataCorp., College Station, Texas, USA).",data/tei/PMC4541475.tei.xml
10.1111%2Fsaje.12137_TL02,The model is estimated using Mathworks Matlab [textregistered].,data/tei/10.1111%2Fsaje.12137.tei.xml
PMC4622569_HR02,oftware (MassAnalyzer) developed in-housewas used for data evaluation.,data/tei/PMC4622569.tei.xml
PMC5378987_HR01,"All data was analyzed using SPSS software (version 20.0, SPSSInc., Chicago, IL).",data/tei/PMC5378987.tei.xml
PMC5113931_MD01,difference with 95% confidence interval. Statistical analysis was carried out using Review Manager 5.3.0.,data/tei/PMC5113931.tei.xml
PMC4816756_MZ12,"Data were restricted to 706 mouse kidney cortex or medulla samples and analyzed for differential expression comparing sexual differences within anatomic region using the limma package <ref type=""bibr"" target=""#b46"">(Smyth, 2004</ref>) in R.",data/tei/PMC4816756.tei.xml
PMC4816756_MZ14,"Weighted Gene Co-expression Network and Pathway Analysis wasperformed using the WGCNA R package (Langfelder and Horvath,2008) withsoft thresholdingpowers selected based on the approximatescale-free topology criterion (Zhang and Horvath, 2005), followed byblockwise network construction, module detection, correlation withsex/genotype and comparative network analysis to determine modulepreservation.",data/tei/PMC4816756.tei.xml
PMC4816756_MZ15,"Gene ontology enrichment analysis of the identified modules and lists of differentially expressed genes was performed in R using <ref type=""bibr"">GOstats (Falcon and Gentleman, 2007</ref>).",data/tei/PMC4816756.tei.xml
PMC4816756_MZ18,"Analysis was performed in R <ref type=""bibr"" target=""#b49"">(Team, 2014)</ref>.",data/tei/PMC4816756.tei.xml
PMC5390613_JWC07,"To measure hepatic fibrosis quantitatively, MATLAB-based software was used to calculate CV map",data/tei/PMC5390613.tei.xml
PMC4107842_HR01,"The statistical analyses were undertaken using the PASW Statistics , release version .. (SPSS Inc., ) computer program.",data/tei/PMC4107842.tei.xml
PMC5112610_HR11,amino acid sequence length into the opening accessible online resource DisProt search.,data/tei/PMC5112610.tei.xml
PMC5112610_HR12,s isoform was pasted into DisProt search and showed that it was partly aligned with the disordered region,data/tei/PMC5112610.tei.xml
PMC4374707_MZ01,"Lehmussolaet al. created a complex simulator, called SIMCEP, which is ableto create populations of realistic two-dimensional (2D) nucleuspopulations (4).",data/tei/PMC4374707.tei.xml
PMC4374707_MZ02,"The algorithms described in this article were imple-mented inMATLAB(2011b, The MathWorks, Natick, MA) usingthe image processing toolbox DIPimage (16).",data/tei/PMC4374707.tei.xml
PMC1950546_JWC01,Escherichia coliPrrC (indicated by Eco)residues 279–330 were aligned using ClustalW (31) with corresponding portions of representative homolo,data/tei/PMC1950546.tei.xml
PMC1950546_JWC02,Secondarystructure predictions according to SSpro (33) and Jpred (34) are indicated above the alignment.,data/tei/PMC1950546.tei.xml
10.3846%2Fbtp.2016.534_TL01,The Fuzzy Logic Toolbox in MATLAB software was used to create the decision-making fuzzy model,data/tei/10.3846%2Fbtp.2016.534.tei.xml
10.3846%2Fbtp.2016.534_TL04,If the M-file called TVPR.m is used to simulate (in MATLAB software),data/tei/10.3846%2Fbtp.2016.534.tei.xml
PMC5037241_HR01,The data were analysed with IBM SPSS Statistics19 using a linear regression analysis in,data/tei/PMC5037241.tei.xml
PMC3933250_FJ01,"Cilengitide PK parameters were calculated according to standard non-compartmental methods using the KINETICA™, version 4.1 (or higher) software.",data/tei/PMC3933250.tei.xml
PMC2950835_SG02,"To run theprogram locally, it is necessary to install Java SE 5.0 (orhigher), Concorde (one of the best exact TSP solverscurrently available;Applegate et al.), Phyutility Javaarchive;Smith and Dunn 2008), Apache XML GraphicsCommons Java archives, and Args4j Java archive.",data/tei/PMC2950835.tei.xml
PMC2950835_SG04,Phyutility Javaarchive;Smith and Dunn 2008),data/tei/PMC2950835.tei.xml
PMC5149064_MZ01,"Body Mass Index (BMI) was calculated usingthe standard formula (weight [kg]/height [m2]) and the gender- andage-specific standardized percentile scores were translated using theSAS program for Growth Charts for the United States available fromthe Centers for Disease Control and Prevention (Centers for DiseaseControl - National Center for Health Statistics. CDC Growth Charts:United States, 2000).",data/tei/PMC5149064.tei.xml
PMC3529531_MS01,"The pictures were edited, and the figures were assembled with Photoshop (CS3; Adobe).",data/tei/PMC3529531.tei.xml
PMC4283880_JWC01,Calculations were performed using the statistical package STATISTICA PL 10.,data/tei/PMC4283880.tei.xml
10.1111%2Fj.1467-6451.2007.00315.x_MD01,"In Matlab, this can be done with sum(x( y 4 5 0)).",data/tei/10.1111%2Fj.1467-6451.2007.00315.x.tei.xml
10.1111%2Fj.1467-6451.2007.00315.x_MD02,Our program would haveworked correctly if Gauss interpreted a matrix indexed with a missing value as Matlab does.,data/tei/10.1111%2Fj.1467-6451.2007.00315.x.tei.xml
10.1111%2Fj.1467-6451.2007.00315.x_MD03,"To facilitate further replicati on of our results, we have created areplication ﬁle containing Matlab andcode for automaticallygenerating this erratum.",data/tei/10.1111%2Fj.1467-6451.2007.00315.x.tei.xml
PMC4843533_MS01,"The cellular network was manually delineated inorder to semiautomatically quantify total network length andthe number of intersections using ImageJ software (NationalInstitutes of Health, Bethesda, MD).",data/tei/PMC4843533.tei.xml
PMC4015203_JS01,"Data from the in- studies were extracted by 2 authors to a Microsoft Excel spreadsheet (XP Professional; Microsoft Corp, Redmond, WA, USA).",data/tei/PMC4015203.tei.xml
PMC4198632_CT01,"For the purposes of statistical evaluation, the post-hoc ANOVA test of Statistica v. 10 was used.",data/tei/PMC4198632.tei.xml
10.1111%2Fjems.12172_TL02,18. All the simulation work in the paper has been done in Microsoft Excel.,data/tei/10.1111%2Fjems.12172.tei.xml
10.1177%2F1091142114551600_AN01,"Our estimation uses the STATA module pgmhaz, developed by Stephen Jenkins.",data/tei/10.1177%2F1091142114551600.tei.xml
PMC4540966_JWC03,were de novo assembled using CLC GenomicsWorkbench (CLC Bio) with standard parameters.,data/tei/PMC4540966.tei.xml
PMC3630384_MS08,"Concept lattice of 45 genes and 10 acute myeloid leukemia patients having 3 or more non- synonymous mutations, annotated by COSMIC database",data/tei/PMC3630384.tei.xml
PMC3630384_MS09,Red rectan- gles represent annotated hemato- poietic and lymphoid tissue malig- nancy; yellow rectangles represent other cancer type annotated in the COSMIC database.,data/tei/PMC3630384.tei.xml
PMC3630384_MS10,Comparison of list of 3 more mutated genes with COMIC database,data/tei/PMC3630384.tei.xml
PMC4819867_MS02,"Statistical analyses were carried out using Stata (Version 13.1; StataCorp LP, College Station, TX, USA) and SPSS (Version 22; release 22.0.0.0, IBM Corp, New York, USA).",data/tei/PMC4819867.tei.xml
PMC4579164_HR01,"The re­ sulting images were analyzed using an I­solution image analyzer (IMT i­solution Inc., Vancouver, BC, Canada).",data/tei/PMC4579164.tei.xml
PMC2686489_JWC03,"For each project, all measured peptides are listed along withvalidation scores such as the Mascot protein identification score.",data/tei/PMC2686489.tei.xml
PMC1933159_MS01,"We present taveRNA, a web server package thathosts three RNA web services: alteRNA, inteRNAand pRuNA.",data/tei/PMC1933159.tei.xml
PMC1933159_MS02,alteRNA is a new alternative for RNA secondary structure prediction.,data/tei/PMC1933159.tei.xml
PMC1933159_MS03,inteRNA is the first RNA–RNAinteraction structure prediction web service.,data/tei/PMC1933159.tei.xml
PMC1933159_MS04,"Lastly,pRuNA is an efficient database pruning service;which given a query RNA, eliminates a significantportion of an ncRNA database and returns onlya few ncRNAs as potential regulators.",data/tei/PMC1933159.tei.xml
PMC1933159_MS05,taveRNA isavailable at http://compbio.cs.sfu.ca/taverna.,data/tei/PMC1933159.tei.xml
PMC1933159_MS25,alteRNA: AN RNA SECONDARY STRUCTUREPREDICTION TOOL BASED ON AN ALTERNATIVETHERMODYNAMIC APPROACH,data/tei/PMC1933159.tei.xml
PMC1933159_MS31,The output pages of taveRNA.,data/tei/PMC1933159.tei.xml
PMC1933159_MS32,alteRNA secondary structure prediction for 5sRNA,data/tei/PMC1933159.tei.xml
PMC1933159_MS33,inteRNA joint structure prediction forCopA and CopT.,data/tei/PMC1933159.tei.xml
PMC1933159_MS36,inteRNA: A Web-Based Tool For RNA–RNAInteraction Prediction,data/tei/PMC1933159.tei.xml
PMC1933159_MS44,pRuNA: A REGULATORY RNA SEARCH ENGINE,data/tei/PMC1933159.tei.xml
PMC2978351_RA02,The 3D structure of p53 (51) was visualized withVisual Molecular Dynamics (52),data/tei/PMC2978351.tei.xml
10.1111%2Fj.1475-4932.2008.00494.x_JWC03,The software program written by J. Pot is anApache/MySQL/PHP5 web application.,data/tei/10.1111%2Fj.1475-4932.2008.00494.x.tei.xml
10.1257%2Fjep.26.3.87_EK01,"In 1995, the rst commercial “spamware,” aptly titled Floodgate, appeared for sale at a price of $100.",data/tei/10.1257%2Fjep.26.3.87.tei.xml
10.1257%2Fjep.26.3.87_EK02,"Floodgate advertised its ability to harvest email addresses from a variety of sources including newsgroups,",data/tei/10.1257%2Fjep.26.3.87.tei.xml
PMC5436475_CBrown01,"TTC-stained sections were photographed, and Image-J image-processing software was used to calculate the infarct volume.",data/tei/PMC5436475.tei.xml
PMC5129524_JWC04,"assembledusing Trinity, version r2013-02-25, (Grabherr et al., 2011), withdefault parameters.",data/tei/PMC5129524.tei.xml
PMC5129524_JWC05,"We vector clipped and contaminate filteredthe resulting assembly with SeqClean, version, 2011-02-22, (Seq-Clean, 2011).",data/tei/PMC5129524.tei.xml
PMC5129524_JWC11,"Differentialexpression analysis and normalization was performed using theR package DESeq2 (Love et al., 2014)",data/tei/PMC5129524.tei.xml
PMC5095638_YK01,Salmonella enterica serotype Braenderup strain H9812 digested with XbaI (Roche Diagnostics) was used as a standard size marker. Macrorestriction patterns were compared using BioNumerics 4.1 software,data/tei/PMC5095638.tei.xml
PMC4368909_CB03,All data were analysed using STATAV.12 for Windows software.,data/tei/PMC4368909.tei.xml
PMC4261519_HR01,"doxycycline for 72 h were taken using a Leika M205FA stereo-microscope (Leika Microsystems, Wetzler, Germany) equipped with the LAS software for fluorescence imaging.",data/tei/PMC4261519.tei.xml
PMC3010901_JWC01,"Modelling andProjections has continued to advise on the methodsto be implemented in the Estimation and ProjectionPackage (EPP) and the AIM module of Spectrum,which are used by countries, together withUNAIDS and WHO, in preparing national esti-mates. Discussions in this group have resulted inmany of the new features in the 2009 versions ofthese estimation tools",data/tei/PMC3010901.tei.xml
PMC3010901_JWC04,The recent round of workshops haspromoted the use of EPP,data/tei/PMC3010901.tei.xml
PMC3010901_JWC05,since the EPP methodology is much betterat making full use,data/tei/PMC3010901.tei.xml
PMC3010901_JWC06,"To allow forthis, the 2009 version of EPP explicitly includes th",data/tei/PMC3010901.tei.xml
PMC3010901_JWC07,"ART.EPP has further improved itsfitting algorithm,using incremental mixture importance",data/tei/PMC3010901.tei.xml
PMC3010901_JWC08,"o handle a rise in prevalence following a decline,EPP include",data/tei/PMC3010901.tei.xml
PMC3010901_JWC09,"Finally, the 2009 EPP versionallows for changes in urbanisation over time,",data/tei/PMC3010901.tei.xml
PMC3010901_JWC10,"Spectrum’s main new features include new waysof handling the age- and sex-specific patterns ofincidence over time, the ti",data/tei/PMC3010901.tei.xml
PMC4977069_yc01,Wii Sports Boxing,data/tei/PMC4977069.tei.xml
PMC4977069_yc02,"DDR, Nintendo wii tennis and boxing, PlayStation 2, etc.",data/tei/PMC4977069.tei.xml
PMC4977069_yc04,Xbox Kinect (Just Dance and Dance Central),data/tei/PMC4977069.tei.xml
PMC4977069_yc06,Xbox Kinect (Kinect Adventures and Kinect Sports),data/tei/PMC4977069.tei.xml
PMC4977069_yc10,Wii Fit,data/tei/PMC4977069.tei.xml
PMC4441238_MS01,"Data were tabulated and statistically analyzed using analysis of variance and t-tests <ref type=""figure"" target=""#fig_0"">(SPSS version 21, IBM)</ref>.",data/tei/PMC4441238.tei.xml
10.1007%2Fs11558-011-9108-7_TL02,15 The simulations were performed with the “Clarify” software developed by Tomz et al. (1998).,data/tei/10.1007%2Fs11558-011-9108-7.tei.xml
PMC4182354_BB02,"The ROC curve analysis and the reliability analysis were performed with MedCalc Version 11.3 for Windows (MedCalc Software BVBA, Ostend, Belgium).",data/tei/PMC4182354.tei.xml
PMC5279962_EK01,Chi-square and IndependentT-test were used via SPSS fordata analysis and P-value less than 0.05 was considered statistically significant.,data/tei/PMC5279962.tei.xml
PMC4455856_TL01,"The data were entered, cleaned, and analyzed using Statistical Package for the Social Sciences version 20.0 and Stata version 12.0.",data/tei/PMC4455856.tei.xml
PMC4455856_TL03,"Data were entered, cleaned, and analyzed using Statistical Package for the Social Sciences version 20.0 software (IBM Corporation, Armonk, NY, USA).",data/tei/PMC4455856.tei.xml
PMC4535552_HR01,"Data were coded and stored in Microsoft Excel 2007 and analyzed using Statistical Package for the Social Sciences version 17.0 software (SPSS Inc, Chicago, IL, USA).",data/tei/PMC4535552.tei.xml
PMC4728087_HR01,Statistical analysis was performed using Sigmastat 3.5 ve IBM SPSS Statistics 20.,data/tei/PMC4728087.tei.xml
PMC4621286_TL01,Two researchers selected and evaluated studies independently using pre-defined criteria. Review Manager 5.3 software was used for data analysis.,data/tei/PMC4621286.tei.xml
PMC3064789_YK07,". Fitting the data to a two-site binding model using DynaFit 4 gives K d1 = 0.63 ± 0.16 nM and K d2 = 662 ± 108 nM,",data/tei/PMC3064789.tei.xml
PMC3064789_YK08,"We thank Petr Kuzmic for assistance with DynaFit, Jim Stivers (Johns Hopkins University) for providing purified human uracil DNA glycosylase, L. Eisele (NY State Department of Health) for collecting sedimentation velocity analytical ultracentrifugation data and the review- ers for excellent suggestions.",data/tei/PMC3064789.tei.xml
PMC4832084_TL01,All analyses were conducted using R v3.1.1 [17].,data/tei/PMC4832084.tei.xml
PMC4536843_CM01,"RevMan 5.1 (Cochrane Information Management System [IMS]) and Stata software 8.0 (StataCorp LP, College Station, TX, USA) were used to do the statistical analyses.",data/tei/PMC4536843.tei.xml
PMC5406603_MP07,"Data were fitted to the following equation (linear-quadratic [LQ] model) by KaleidaGraph 3.6 (Synergy Software, Reading, PA, USA)",data/tei/PMC5406603.tei.xml
PMC5406603_MP08,Areas of red orgreen fluorescence at each depth were quantitated using ImageJ 1.44 software,data/tei/PMC5406603.tei.xml
PMC5406603_MP09,Areas of red or green fluorescence were quantitated using ImageJ 1.44 software.,data/tei/PMC5406603.tei.xml
10.1111%2Fecin.12363_TL01,Also we thank Markus Eberhardt for kindly providing his STATA routines.,data/tei/10.1111%2Fecin.12363.tei.xml
PMC5284477_MS01,All the analyses were carried out using the R software (http://www.r-project.org/).,data/tei/PMC5284477.tei.xml
10.1111%2Fecin.12386_TL08,"I used process-tracing software called Mouselab, which tracks how individuals acquire information while making choices,",data/tei/10.1111%2Fecin.12386.tei.xml
PMC4616740_JS01,"Data were analyzed using IBM SPSS Statistics 20.0 (IBMCorporation, New York, NY).",data/tei/PMC4616740.tei.xml
PMC3249287_JS01,"The scanned images were analyzed to determine Cy3：Cy5 ratios for each array element using MAC ViewerTM v1.6.3 software (Macrogen, Seoul, Korea)",data/tei/PMC3249287.tei.xml
PMC3249287_JS02,Measurements flagged as un-reliable by MAC ViewerTM v1.6.3 were excluded from sub-sequent analyses.,data/tei/PMC3249287.tei.xml
PMC4496436_CM01,"StatisticalanalyseswereperformedusingtheMann-WhitneyU-testandthec2testwithIBMSPSSStatisticsver.19.0(IBMCo.,Armonk,NY,USA).",data/tei/PMC4496436.tei.xml
PMC3663311_EK01,"Statistical analysis of the data was performed using the Statistical Package for the Social Sciences(SPSS), version 15.0 (SPSS, Inc., Chicago, IL, USA).",data/tei/PMC3663311.tei.xml
PMC5435914_TL16,"The Database for Annotation, Visualization and Integrated Discovery (DAVID) program was used to define biological processes enriched in the protein encoding genes putatively regulated by p27",data/tei/PMC5435914.tei.xml
PMC5435914_TL17,The Gitools program was used to define biological processes enriched in the protein encoding genes putatively regulated by p27 or PCAF.,data/tei/PMC5435914.tei.xml
PMC5435914_TL18,"MEME programs were used to identify short sequence motifs enriched in the p27-BSs (upper panel) or PCAF-BSs (bottom panel)",data/tei/PMC5435914.tei.xml
PMC5435914_TL19,The biological processes enriched in the group of genes sharing p27 and PCAFBSs (269 genes) were identified by using the DAVID program.,data/tei/PMC5435914.tei.xml
PMC5387758_AN01,"Statistical analyses. Required sample size for association studies was calculated using QUANTO (Version 1.2, Uni- versity of Southern California) and a power 40.80 is acceptable.",data/tei/PMC5387758.tei.xml
PMC5387758_AN02,"All the tests were computed using SigmaStat3.1 software (Systat Soft- ware, Inc., Richmond, CA, USA). For comparison of rs2736098 and rs2736100 genotypes between healthy controls and CHB patients, P values were adjusted by Bonferroni correction",data/tei/PMC5387758.tei.xml
PMC5056991_HR01,their Kozak score (Ks) obtained on the ATGPR software are indicated.,data/tei/PMC5056991.tei.xml
PMC4898791_TZ01,"Inference methods based on the coales-cent such as SNAPP (Bryant et al. 2012) do not scale well asthe number of individuals grows, while those based on con-tinuous models of gene frequencies (Cavalli-Sforza andEdwards 1967; Felsenstein 1981b;Sire ́n et al. 2011) dependonly on proportions of populations with each allele, so scaleextremely well.",data/tei/PMC4898791.tei.xml
PMC3309518_RA01,"Stimuli were presented in a blocked design in one of twopseudorandom orders (which were counterbalanced acrossall participants in each study group) and were presented ine-Prime version 2.0 Professional (Psychological SoftwareTools, Pittsburgh, PA, USA).",data/tei/PMC3309518.tei.xml
PMC3309518_RA03,"Preprocessing and first-level analyses wereperformed in SPM8 (Wellcome Department of CognitiveNeurology, London, UK) implemented using the automaticanalysis platform as previously described",data/tei/PMC3309518.tei.xml
PMC3984761_JWC01,"Differences between two groups weretested with the Student’st-test (SigmaStat 3.5; Systat Soft-ware Inc., San Jose, CA)",data/tei/PMC3984761.tei.xml
PMC3322527_CB01,Biological interpretation and network analysis of the genes active in cellular biofunctions were performed using IPA.,data/tei/PMC3322527.tei.xml
PMC3322527_CB02,"Abbreviations: FC, fold change; HEPM, human embryonic palatal mesenchyme; IKB,ingenuity knowledge base; IPA,ingenuity pathway analysis; MEE,medial edge epithelium; TGFβ,transforming growth factor β.",data/tei/PMC3322527.tei.xml
PMC3322527_CB03,"Scanned array images werea nalyzed by dChip applying a smoothing spline normalization method prior to obtaining model-based gene expression indices,a.k.a. signal values.",data/tei/PMC3322527.tei.xml
PMC3322527_CB04,"There were no outliers identiﬁed by dChip, so all samples were carried on for subsequent analysis.",data/tei/PMC3322527.tei.xml
PMC3322527_CB05,Thecomplete list of genes passing dChip’s statistical ﬁlter for each treatment with their respective FCs and p-values was deposited to the gene expression omnibus (GEO) of NCBI (Accession number: TBD).,data/tei/PMC3322527.tei.xml
PMC3322527_CB07_1,"Heatmaps with dendrograms are constructed using Bioconductor of R statistical software (Gentleman et al., 2004; Reimers and Carey,2006).",data/tei/PMC3322527.tei.xml
PMC3322527_CB07_2,Samples and genes were clustered using the normalized and modeled expression values obtained by dChip analysis.,data/tei/PMC3322527.tei.xml
PMC3322527_CB08,"The effects of TGFβ on cellular functions of HEPM cells were examined in the context of differentially expressed human genes using the ingenuity pathway analysis (IPA; Ingenuity Systems, CA, USA) a web-delivered application used to discover, visualize, and explore relevant networks.",data/tei/PMC3322527.tei.xml
PMC3322527_CB09,"Following statistical analysis and ﬁltering of the microarray data using dChip, Affymetrix probe identiﬁers, and fold-values of each treatment group were uploaded to IPA as a dataset.",data/tei/PMC3322527.tei.xml
PMC3322527_CB11,Interactions were then queried between these datasets and all other gene objects stored within IPA to generate a set of direct interaction networks that were overlapped.,data/tei/PMC3322527.tei.xml
PMC3322527_CB12,"The signiﬁcant genes were categorized, compared to functional categories in the IPA database, and ranked according to their p-values. p-Values less than 0.05 indicate a statistically signiﬁcant, non-random association between a set of signiﬁcant genes and a set of all genes related to a given function in the IKB (Mori et al., 2009).",data/tei/PMC3322527.tei.xml
PMC3322527_CB13_1,"Using these IPA analyses, molecules within the cellular biofunction categories were filtered and imported to Excel (Microsoft, Seattle, WA, USA) for further graphical analysis of the networks.",data/tei/PMC3322527.tei.xml
PMC3322527_CB13_2,"Statistically signifi- cant altered genes were filtered using dChip through normalization and modeling analysis.",data/tei/PMC3322527.tei.xml
PMC3322527_CB14_2,"According to dChip normalization and modeling, the level of differential gene expression by TGFβ3 was detected to be statistically nonsignificant; therefore TGFβ3 has been excluded from the FC analysis.",data/tei/PMC3322527.tei.xml
PMC3322527_CB14_3,"Furthermore, direct or indirect relations of these 27 genes with TGFβ signaling were detected using IPA.",data/tei/PMC3322527.tei.xml
PMC3322527_CB15,We focused on the differential expression of genes involved in cellular biofunctions with a criterion of FC>1.2 using the IPA software.,data/tei/PMC3322527.tei.xml
PMC3322527_CB16,"According to IPA analysis, there were 66 differentially expressed genes detected to have a role in cellular movement; 48 were upregulated, and 18 were downregulated in response to TGFβ treatment.",data/tei/PMC3322527.tei.xml
PMC3322527_CB18,"List of differentially expressed genes with their accession IDs were uploaded to GeneVenn, query was run, and the detected numbers and gene lists were exported to MS Excel.",data/tei/PMC3322527.tei.xml
PMC3322527_CB19,"Graphical figure is illustrated using the Adobe Photoshop (Adobe Inc, CA, USA).",data/tei/PMC3322527.tei.xml
PMC3322527_CB22,"Affymetrix probe identifiers and FC values of significantly altered transcripts (n = 27) were uploaded to IPA and each identifier was mapped to its corresponding gene object in the IKB.",data/tei/PMC3322527.tei.xml
PMC3322527_CB23,"Networks with the highest number of molecules were selected, overlaid with TGFβ molecules, and organized using Path Designer of IPA.",data/tei/PMC3322527.tei.xml
PMC3322527_CB25,"Finally, the localization of differentially expressed genes within the canonical TGFβ pathway was illustrated by using the IPA Path Designer in Figure 7",data/tei/PMC3322527.tei.xml
PMC3322527_CB26,"s. Altered genes were clustered based on cellular biofunctions and heatmaps were constructed using Bioconductor.",data/tei/PMC3322527.tei.xml
PMC3322527_CB27,Networks were constructed with the IPA software using the selected genes matching the criterion of FC >2.0 and involved in cellular biofunctions.,data/tei/PMC3322527.tei.xml
PMC3322527_CB28,"NS, Non-significant expression detected by dChip.",data/tei/PMC3322527.tei.xml
PMC3322527_CB29,"We analyzed the raw data of scanned GeneChip images using dChip, which normalizes and models the signal values of transcripts in order to accurately detect differential expression with FC values.",data/tei/PMC3322527.tei.xml
PMC3322527_CB30,"Affymetrix probe identifiers and fold-values were uploaded to IPA and each identifier was mapped to its corresponding gene object in the IKB.",data/tei/PMC3322527.tei.xml
PMC3322527_CB31,"B. Interactions were then queried between these gene objects and all other gene objects stored within IPA to generate a set of direct interaction networks that were merged.",data/tei/PMC3322527.tei.xml
PMC3322527_CB32,". The 11 transcripts meeting the 0.05 criteria of FDR in response to TGFβ treatment were analyzed for the direct interaction network using IPA.",data/tei/PMC3322527.tei.xml
PMC3322527_CB33,Cellular localization of differentially expressed genes active in canonical TGFβ pathway was illustrated using the IPA Path Designer.,data/tei/PMC3322527.tei.xml
PMC3322527_CB34,"Genes in Table 1 were uploaded to IPA as a dataset and analyzed using default settings. Acquired networks were overlaid with TGFβ canonical pathway.",data/tei/PMC3322527.tei.xml
PMC3936211_CM01,A Rietveld refinement on 150 neutron diffractionpatterns was performed on the program MAUD27.,data/tei/PMC3936211.tei.xml
PMC3769723_MS03,Growth differences of the strains for culture periods in different culture media. The z values were obtained from variance analysis (Kruskal-Wallis test)and confirmed by Dunn post hoc test (BioEstat 4.0 software).,data/tei/PMC3769723.tei.xml
PMC2853139_JWC07,"he average number of RCPs per cell, as determined bythe BlobFinder program,",data/tei/PMC2853139.tei.xml
10.1002%2Fsoej.12249_TL02,. We then used the Bing Maps Application Programming Interface (https://www.microsoft.com/maps/) to determine the distance between each pair of CBSAs and hence the distance from each CBSA to its nearest neighbor.,data/tei/10.1002%2Fsoej.12249.tei.xml
PMC4506345_01,"BCVA was measured using the EarlyTreatment Diabetic Retinopathy Study (ETDRS)logarithm of the minimum angle of resolution (LogMAR)chart (Test Chart 2000 PRO; Thomson Software Solutions,Hatfield, Hertfordshire, UK) viewed at 4 m.",data/tei/PMC4506345.tei.xml
PMC4506345_02,"Letter CS was assessed using the LogMARETDRS (Test Chart 2000 PRO; Thomson SoftwareSolutions) chart atfive different spatial frequencies (1.2, 2.4,6.0, 9.6, and 15.15 c.p.d., respectively) viewed at 4 m.",data/tei/PMC4506345.tei.xml
10.1002%2Fsoej.12244_TL04,Figure 3. mTurk HIT. [Color f,data/tei/10.1002%2Fsoej.12244.tei.xml
PMC4436784_EK03,"The SR components in the raw image were amplified by Fourier-space filtering using the Custom Filter command of ImageJ (National Institutes of Health, Bethesda, MD).",data/tei/PMC4436784.tei.xml
PMC3246293_JS03,OpenClinica www.openclinica.org,data/tei/PMC3246293.tei.xml
PMC3246293_JS04,Clinovo ClinCapture www.clinovo.com,data/tei/PMC3246293.tei.xml
PMC3246293_JS05,Study Manager Evolve clinicalsoftware.net,data/tei/PMC3246293.tei.xml
PMC3246293_JS06,REDCap project-redcap.org,data/tei/PMC3246293.tei.xml
PMC3246293_JS07,eCaseLink http://www.dsg-us.com/,data/tei/PMC3246293.tei.xml
PMC3246293_JS08,eCaseLinkEDC.aspx,data/tei/PMC3246293.tei.xml
PMC3246293_JS09,Medidata Rave http://www.mdsol.com/,data/tei/PMC3246293.tei.xml
